#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\management-agent.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\plugin.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\resources.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\rt.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\startup-1.62\cmdsvc.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\startup-1.62\cna_boot.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\startup-1.62\cna_launcher.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\startup-1.62\commonui_comp.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\startup-1.62\commonui_plaf.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\activation.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\castor-1.2.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\cliparser1.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-beanutils-1.6.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-codec-1.3.jar",,,"False","False",,,"USBLND0150",
